bitnameid,bitid,bitname
0,128,0
1,129,1
2,130,2
3,131,3
4,132,4
5,133,5
6,134,6
7,135,7
8,136,8
9,137,9
10,138,10
11,139,11
12,140,12
13,141,13
14,142,14
15,143,15
16,144,16
17,145,17
18,146,18
19,147,19
20,148,20
21,149,21
22,150,22
23,151,23
24,152,24
25,153,25
26,154,26
27,155,27
28,156,28
29,157,29
30,158,30
31,159,31
32,160,32
33,161,33
34,162,34
35,163,35
36,164,36
37,165,37
38,166,38
39,167,39
40,168,40
41,169,41
42,170,42
43,171,43
44,172,44
45,173,45
46,174,46
47,175,47
48,176,48
49,177,49
50,178,50
51,179,51
52,180,52
53,181,53
54,182,54
55,183,55
56,184,56
57,185,57
58,186,58
59,187,59
60,188,60
61,189,61
62,190,62
63,191,63
65,13,L1_DoubleHfRingEtSumsRing2_P200N200
66,87,L1_DoubleMuTopBottom
67,50,L1_SingleEG12
68,47,L1_SingleEG5
69,42,L1_SingleIsoEG10
70,43,L1_SingleIsoEG12
71,18,L1_SingleJet30U
72,113,L1_SingleTauJet4U
73,105,L1_DoubleEG10
74,73,L1_DoubleNoIsoEG05_TopBottom
75,112,L1_Mu3QFC_IsoEG5
76,116,L1_Mu5QFC_Jet6U
77,82,L1_SingleForJet10U
78,78,L1_SingleJet10U_Central
79,29,L1_SingleTauJet8U
80,103,L1_DoubleEG2
81,89,L1_ZdcPlusOverThreshold
82,1,L1_BscMinBiasOR_BptxAND
83,4,L1_BscMinBiasThreshold1_BptxAND
84,27,L1_NotBsc2_BptxAND_BscMinBiasInnerThreshold2
85,28,L1_NotBsc2_BptxAND_BscMinBiasThreshold1
86,7,L1_NotBsc2_BscMinBiasInnerThreshold1
87,22,L1_NotBsc2_BscMinBiasInnerThreshold2
88,24,L1_NotBsc2_BscMinBiasThreshold2
89,87,L1_SingleEG5_BptxAND
90,32,L1_SingleMu3_BptxAND
91,37,L1_ZdcCaloPlus
92,44,L1_SingleIsoEG12_Eta1p39
93,20,L1_SingleJet128
94,16,L1_SingleJet36
95,19,L1_SingleJet92
96,125,L1_TripleEG7
97,39,L1_TripleEG_8_8_5
98,1,L1_ZeroBias_Instance1
99,100,L1_DoubleJet36_Central
100,99,L1_DoubleJet52_Central
101,29,L1_EG5_Jet36_deltaPhi1
102,30,L1_EG8_Jet20_Central_deltaPhi1
103,73,L1_HTM50
104,22,L1_Mu7_EG5
105,90,L1_Mu7_Jet20_Central
106,13,L1_MuOpen_EG12
107,109,L1_QuadJet20_Central
108,12,L1_TripleJet_36_36_12_Central
109,78,L1_DoubleIsoEG8
110,23,L1_DoubleMu0_1Eta1p5
111,87,L1_Mu5_EG8
112,98,L1_SingleJet20_NotBptxOR_NotMuBeamHalo
113,76,L1_ETT40
114,115,L1_DoubleJetC36_RomanPotsOR
115,28,L1_DoubleJetC44_ETM30
116,25,L1_DoubleMu5_EG5
117,118,L1_DoubleMu5_RomanPotsOR
118,124,L1_DoubleMu_12_5
119,37,L1_DoubleTauJet44er
120,94,L1_EG8_DoubleJetC20
121,69,L1_ETT300
122,126,L1_HTT75
123,117,L1_SingleEG20_RomanPotsOR
124,110,L1_DoubleForJet16_EtaOpp
125,31,L1_EG25er_HTT125
126,115,L1_ETM60_NotJet52WdPhi2
127,69,L1_ETT800
128,30,L1_MuOpen_ZdcCalo_NotBscMinBiasThresh2_BptxAND
129,99,L1_SingleJet128_BptxAND
130,17,L1_SingleJet52_Central_BptxAND
131,114,L1_DoubleEG3
132,98,L1_DoubleForJet44_EtaOpp
133,35,L1_SingleJet128
134,101,L1_SingleJet20_Central_NotBptxOR_NotMuBeamHalo
135,19,L1_SingleJet80_Central
136,97,L1_CastorEm_NotHcalHfSingleChannel
137,12,L1_Mu7_Jet16
138,7,L1_ETT40
139,6,L1_HTT50
140,16,L1_DoubleJetC120
141,15,L1_DoubleJetC72
142,26,L1_DoubleMu0
143,5,L1_InterBunch_Bptx
144,8,L1_Mu16er_TauJet40erORCenJet72er
145,76,L1_Mu5_IsoEG18
146,77,L1_Mu6_DoubleEG10
147,82,L1_Mu6_HTT150
148,33,L1_SingleIsoEG25er
149,36,L1_SingleIsoEG30er
150,21,L1_SingleJet176
151,100,L1_TripleEG_14_10_8
152,103,L1_DoubleEG1
153,107,L1_DoubleMu3
154,109,L1_QuadJet6U
155,51,L1_SingleEG15
156,5,L1_SingleHfRingEtSumsRing1_200
157,60,L1_SingleMu10
158,61,L1_SingleMu14
159,57,L1_SingleMu3
160,81,L1_BptxPlus
161,98,L1_DoubleTauJet8U
162,37,L1_SingleTauJet20U_Barrel
163,45,L1_HcalHfMmpOrMpp
164,72,L1_ZdcCaloPlus_ZdcCaloMinus
165,31,L1_ZdcScintLooseVertex_BptxAND
166,53,L1_SingleEG30
167,61,L1_SingleMu12
168,2,L1_BeamGas_Hf_BptxPlusPostQuiet
169,26,L1_DoubleMu0_HighQ_EtaCuts
170,33,L1_EG18_ForJet16
171,114,L1_EG5_HTT75
172,75,L1_ETT220
173,82,L1_Mu3_Jet16_Central
174,28,L1_MuOpen_DoubleEG5
175,112,L1_SingleJet20_Central_NotBptxOR
176,4,L1_BeamGas_Bsc
177,99,L1_DoubleTauJet28
178,82,L1_Mu3_Jet16
179,91,L1_Mu7_Jet28_Central
180,77,L1_ETT60
181,36,L1_DoubleJetC56_Eta1p74_WdEta4
182,58,L1_DoubleMu_5er_0er_HighQ_WdEta22
183,34,L1_EG22_ForJet32
184,40,L1_HTT125
185,88,L1_IsoEG18er_JetC_Cen32_Tau24_dPhi1
186,113,L1_SingleJet16_FwdVeto5
187,102,L1_SingleJet36_FwdVeto5
188,42,L1_SingleMu14er
189,63,L1_SingleMu25er
190,103,L1_TripleJet_64_44_24_VBF
191,22,L1_DoubleEG6_HTT125
192,101,L1_DoubleJetC36_ETM30
193,126,L1_DoubleMu_10_0_WdEta18
194,69,L1_ETM100
195,66,L1_ETT220_BptxAND
196,125,L1_HcalHfCoincPmORBscMinBiasThresh2_BptxAND
197,102,L1_SingleJet32_Central_NotBptxOR_NotMuBeamHalo
198,71,L1_SingleJet92_BptxAND
199,50,L1_SingleEG22
200,119,L1_DoubleEG5_TotemDiffractive
201,35,L1_HcalHfCoincidencePm_BptxAND
202,37,L1_HcalHfSingleChannel_BptxAND
203,81,L1_SingleForJet16
204,126,L1_TotemMinBias
205,101,L1_DoubleEG_15_10
206,40,L1_DoubleJetC52
207,105,L1_DoubleJetC60_ETM60
208,107,L1_Jet32_DoubleMu_Open_10_MuMuNotWdPhi23_JetMuWdPhi1
209,88,L1_Mu4_EG18
210,75,L1_Mu5_EG20
211,87,L1_Mu8_HTT125
212,46,L1_QuadJetC40
213,57,L1_SingleEG15
214,54,L1_SingleEG35
215,49,L1_SingleEG40
216,51,L1_SingleIsoEG20er
217,65,L1_SingleMu30
218,89,L1_SingleMuOpen_NotBptxOR
219,98,L1_TripleMu_5_5_3
220,121,L1_BscMinBiasInnerThreshold2
221,97,L1_DoubleForJet10U_EtaOpp
222,68,L1_ETM70
223,125,L1_IsoEG10_Jet6U_ForJet6U
224,115,L1_Mu3_Jet6U
225,100,L1_SingleForJet2U
226,4,L1_SingleHfRingEtSumsRing1_4
227,16,L1_SingleJet10U
228,54,L1_SingleMuBeamHalo
229,110,L1_SingleCenJet2U
